subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:06:39,163 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:08:55,682 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:11:14,818 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:13:31,367 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:15:46,818 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:18:02,929 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:20:22,494 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:22:39,635 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:24:59,474 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:27:20,757 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:29:37,464 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:31:52,699 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:34:08,926 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 05:36:46,808 | Episode subtitles folder 'subtitles/01' not found.
